"ID","KODE_SATUAN","URAIAN_SATUAN"
"5665","L38","OUNCE (AVOIRDUPOIS) PER GALLON (US)"
"5664","L37","OUNCE (AVOIRDUPOIS) PER GALLON (UK)"
"5663","L36","OUNCE (AVOIRDUPOIS) PER SECOND"
"5662","L35","OUNCE (AVOIRDUPOIS) PER MINUTE"
"5661","L34","OUNCE (AVOIRDUPOIS) PER HOUR"
"5660","L33","OUNCE (AVOIRDUPOIS) PER DAY"
"5659","L32","NANOGRAM PER KILOGRAM"
"5658","L31","MILLIROENTGEN AEQUIVALENT MEN"
"5657","L30","MOLE PER MINUTE"
"5656","L29","MOLE PER CUBIC METRE BAR"
"5655","L28","MOLE PER CUBIC METRE KELVIN"
"5654","L27","MOLE PER LITRE BAR"
"5653","L26","MOLE PER LITRE KELVIN"
"5652","L25","MOLE PER KILOGRAM BAR"
"5651","L24","MOLE PER KILOGRAM KELVIN"
"5650","L23","MOLE PER HOUR"
"5649","L21","CUBIC MILLIMETRE PER CUBIC METRE"
"6665","L20","RECIPROCAL CUBIC MILLIMETRE"
"6664","L2","LITRE PER MINUTE"
"6663","L19","MILLILITRE PER LITRE"
"6662","L18","MILLIGRAM PER CUBIC METRE BAR"
"6661","L17","MILLIGRAM PER CUBIC METRE KELVIN"
"6660","L16","MILLIPASCAL SECOND PER BAR"
"6659","L15","MILLIPASCAL SECOND PER KELVIN"
"6658","L14","SQUARE METRE HOUR DEGREE CELSIUS PER KILOCALORIE"
"6657","L13","METRE PER SECOND BAR"
"6656","L12","METRE PER SECOND KELVIN"
"6655","L11","QUART (US LIQUID) PER SECOND"
"6654","L10","QUART (US LIQUID) PER MINUTE"
"6653","KX","MILLILITRE PER KILOGRAM"
"5555","KWT","KILOWATT"
"6652","KWO","KILOGRAM OF TUNGSTEN TRIOXIDE"
"5556","KWH","KILOWATT-HOUR"
"6651","KW","KILOGRAM PER MILLIMETRE"
"5778","KVT","KILOVOLT"
"5777","KVR","KILOVAR"
"5554","KVA","KILOVOLT - AMPERE"
"5548","KUR","KILOGRAM OF URANIUM"
"5553","KTN","KILOTONNE"
"6650","KTM","KILOMETRE"
"6649","KT","KIT"
"5546","KSH","KILOGRAM OF SODIUM HYDYOXIDE  (CAUSTIC SODA)"
"5547","KSD","KILOGRAM OF SUBSTANCE 90 PER CENT DRY"
"6648","KS","THOUSAND POUND PER SQUARE INCH"
"6647","KR","KILOROENTGEN"
"5648","KPP","KGM OF PHOSPHORUS PENTOXIDE(PHOSPHORIC ANHYDRIDE"
"5545","KPO","KILOGRAM OF POTASSIUM OXIDE"
"5544","KPH","KILOGRAM OF POTASSIUM HYDROXIDE (CAUSTIC POTASN)"
"5776","KPA","KILOPASCAL"
"6646","KO","MILLIEQUIVALENCE CAUSTICPOTASH PER GRAM OF PRODUCT"
"5557","KNT","KNOT ( 1 N MILE OER HOUR"
"5542","KNS","KILOGRAM OF NAMED SUBSTANCE"
"5543","KNI","KILOGRAM OF NITROGEN"
"5551","KMT","KILOMETRE"
"5549","KMQ","KILOGRAM PER CUBIC METER"
"5621","KMK","SQUARE KILOMETRE"
"5552","KMH","KILOMETRE PER HOUR"
"6645","KMA","KILOGRAM OF METHYLAMINE"
"6644","KLK","LACTIC DRY MATERIAL PERCENTAGE"
"6643","KL","KILOGRAM PER METRE"
"5550","KJO","KILOJOULE"
"6642","KJ","KILOSEGMENT"
"6641","KIP","KILOGRAM, INCLUDING INNER PACKAGING"
"6640","KIC","KILOGRAM, INCLUDING CONTAINER"
"6639","KI","KILOGRAM PER MILLIMETRE WIDTH"
